,Date,Area,Consumption(Bscf)
0,2019-04-01,U.S.,724.048
1,2019-03-01,U.S.,792.262
2,2019-02-01,U.S.,769.182
3,2019-01-01,U.S.,834.116
4,2018-12-01,U.S.,743.958
5,2018-11-01,U.S.,756.296
6,2018-10-01,U.S.,894.986
7,2018-09-01,U.S.,1044.507
8,2018-08-01,U.S.,1195.34
9,2018-07-01,U.S.,1235.633
10,2018-06-01,U.S.,952.471
11,2018-05-01,U.S.,853.201
12,2018-04-01,U.S.,707.388
13,2018-03-01,U.S.,755.4
14,2018-02-01,U.S.,701.253
15,2018-01-01,U.S.,785.26
16,2017-12-01,U.S.,768.229
17,2017-11-01,U.S.,662.814
18,2017-10-01,U.S.,779.799
19,2017-09-01,U.S.,862.068
20,2017-08-01,U.S.,1033.682
21,2017-07-01,U.S.,1074.275
22,2017-06-01,U.S.,854.087
23,2017-05-01,U.S.,706.151
24,2017-04-01,U.S.,623.889
25,2017-03-01,U.S.,678.97
26,2017-02-01,U.S.,558.74
27,2017-01-01,U.S.,647.362
28,2016-12-01,U.S.,670.787
29,2016-11-01,U.S.,662.046
30,2016-10-01,U.S.,743.796
31,2016-09-01,U.S.,915.286
32,2016-08-01,U.S.,1151.236
33,2016-07-01,U.S.,1139.968
34,2016-06-01,U.S.,970.308
35,2016-05-01,U.S.,804.431
36,2016-04-01,U.S.,718.893
37,2016-03-01,U.S.,744.765
38,2016-02-01,U.S.,689.8
39,2016-01-01,U.S.,773.954
40,2015-12-01,U.S.,768.606
41,2015-11-01,U.S.,732.413
42,2015-10-01,U.S.,791.541
43,2015-09-01,U.S.,895.044
44,2015-08-01,U.S.,1026.59
45,2015-07-01,U.S.,1045.542
46,2015-06-01,U.S.,886.475
47,2015-05-01,U.S.,734.486
48,2015-04-01,U.S.,664.276
49,2015-03-01,U.S.,708.731
50,2015-02-01,U.S.,648.343
51,2015-01-01,U.S.,711.324
52,2014-12-01,U.S.,638.769
53,2014-11-01,U.S.,600.392
54,2014-10-01,U.S.,703.39
55,2014-09-01,U.S.,770.947
56,2014-08-01,U.S.,897.806
57,2014-07-01,U.S.,843.303
58,2014-06-01,U.S.,720.75
59,2014-05-01,U.S.,646.929
60,2014-04-01,U.S.,548.899
61,2014-03-01,U.S.,560.808
62,2014-02-01,U.S.,551.109
63,2014-01-01,U.S.,662.881
64,2013-12-01,U.S.,668.792
65,2013-11-01,U.S.,601.019
66,2013-10-01,U.S.,637.038
67,2013-09-01,U.S.,751.482
68,2013-08-01,U.S.,900.53
69,2013-07-01,U.S.,911.124
70,2013-06-01,U.S.,737.15
71,2013-05-01,U.S.,614.808
72,2013-04-01,U.S.,564.827
73,2013-03-01,U.S.,603.91
74,2013-02-01,U.S.,568.388
75,2013-01-01,U.S.,631.685
76,2012-12-01,U.S.,599.502
77,2012-11-01,U.S.,579.745
78,2012-10-01,U.S.,669.195
79,2012-09-01,U.S.,802.588
80,2012-08-01,U.S.,1003.938
81,2012-07-01,U.S.,1081.688
82,2012-06-01,U.S.,879.881
83,2012-05-01,U.S.,812.467
84,2012-04-01,U.S.,714.338
85,2012-03-01,U.S.,674.099
86,2012-02-01,U.S.,644.53
87,2012-01-01,U.S.,648.823
88,2011-12-01,U.S.,613.894
89,2011-11-01,U.S.,542.546
90,2011-10-01,U.S.,574.932
91,2011-09-01,U.S.,684.198
92,2011-08-01,U.S.,921.449
93,2011-07-01,U.S.,938.575
94,2011-06-01,U.S.,699.414
95,2011-05-01,U.S.,571.998
96,2011-04-01,U.S.,521.453
97,2011-03-01,U.S.,481.926
98,2011-02-01,U.S.,483.686
99,2011-01-01,U.S.,539.792
100,2010-12-01,U.S.,564.274
101,2010-11-01,U.S.,496.539
102,2010-10-01,U.S.,570.363
103,2010-09-01,U.S.,696.723
104,2010-08-01,U.S.,943.002
105,2010-07-01,U.S.,897.182
106,2010-06-01,U.S.,705.665
107,2010-05-01,U.S.,559.665
108,2010-04-01,U.S.,471.481
109,2010-03-01,U.S.,456.864
110,2010-02-01,U.S.,479.615
111,2010-01-01,U.S.,545.811
112,2009-12-01,U.S.,519.846
113,2009-11-01,U.S.,457.085
114,2009-10-01,U.S.,537.013
115,2009-09-01,U.S.,690.011
116,2009-08-01,U.S.,840.317
117,2009-07-01,U.S.,778.017
118,2009-06-01,U.S.,642.797
119,2009-05-01,U.S.,515.476
120,2009-04-01,U.S.,451.395
121,2009-03-01,U.S.,499.678
122,2009-02-01,U.S.,453.472
123,2009-01-01,U.S.,487.426
124,2008-12-01,U.S.,476.394
125,2008-11-01,U.S.,457.591
126,2008-10-01,U.S.,545.244
127,2008-09-01,U.S.,602.565
128,2008-08-01,U.S.,762.946
129,2008-07-01,U.S.,782.039
130,2008-06-01,U.S.,665.436
131,2008-05-01,U.S.,475.467
132,2008-04-01,U.S.,469.607
133,2008-03-01,U.S.,460.763
134,2008-02-01,U.S.,438.868
135,2008-01-01,U.S.,531.46
136,2007-12-01,U.S.,497.505
137,2007-11-01,U.S.,448.18
138,2007-10-01,U.S.,604.092
139,2007-09-01,U.S.,683.327
140,2007-08-01,U.S.,969.433
141,2007-07-01,U.S.,760.521
142,2007-06-01,U.S.,628.467
143,2007-05-01,U.S.,507.089
144,2007-04-01,U.S.,453.144
145,2007-03-01,U.S.,416.015
146,2007-02-01,U.S.,425.485
147,2007-01-01,U.S.,448.149
148,2006-12-01,U.S.,414.365
149,2006-11-01,U.S.,396.586
150,2006-10-01,U.S.,527.532
151,2006-09-01,U.S.,548.321
152,2006-08-01,U.S.,840.197
153,2006-07-01,U.S.,863.531
154,2006-06-01,U.S.,629.66
155,2006-05-01,U.S.,504.409
156,2006-04-01,U.S.,426.027
157,2006-03-01,U.S.,406.97
158,2006-02-01,U.S.,346.138
159,2006-01-01,U.S.,318.364
160,2005-12-01,U.S.,406.226
161,2005-11-01,U.S.,373.351
162,2005-10-01,U.S.,434.692
163,2005-09-01,U.S.,577.543
164,2005-08-01,U.S.,791.293
165,2005-07-01,U.S.,777.0
166,2005-06-01,U.S.,594.137
167,2005-05-01,U.S.,422.978
