,Date,Area,Consumption(Bscf)
0,2019-04-01,U.S.,667.363
1,2019-03-01,U.S.,740.796
2,2019-02-01,U.S.,710.003
3,2019-01-01,U.S.,791.035
4,2018-12-01,U.S.,755.975
5,2018-11-01,U.S.,726.304
6,2018-10-01,U.S.,671.454
7,2018-09-01,U.S.,646.642
8,2018-08-01,U.S.,657.898
9,2018-07-01,U.S.,654.616
10,2018-06-01,U.S.,638.919
11,2018-05-01,U.S.,660.292
12,2018-04-01,U.S.,686.787
13,2018-03-01,U.S.,726.891
14,2018-02-01,U.S.,689.088
15,2018-01-01,U.S.,770.972
16,2017-12-01,U.S.,761.315
17,2017-11-01,U.S.,696.113
18,2017-10-01,U.S.,657.005
19,2017-09-01,U.S.,616.109
20,2017-08-01,U.S.,637.549
21,2017-07-01,U.S.,623.935
22,2017-06-01,U.S.,614.517
23,2017-05-01,U.S.,628.595
24,2017-04-01,U.S.,632.002
25,2017-03-01,U.S.,696.841
26,2017-02-01,U.S.,650.397
27,2017-01-01,U.S.,734.82
28,2016-12-01,U.S.,734.194
29,2016-11-01,U.S.,654.119
30,2016-10-01,U.S.,622.72
31,2016-09-01,U.S.,603.868
32,2016-08-01,U.S.,627.541
33,2016-07-01,U.S.,616.48
34,2016-06-01,U.S.,590.392
35,2016-05-01,U.S.,612.675
36,2016-04-01,U.S.,620.045
37,2016-03-01,U.S.,662.694
38,2016-02-01,U.S.,662.79
39,2016-01-01,U.S.,721.171
40,2015-12-01,U.S.,674.532
41,2015-11-01,U.S.,638.537
42,2015-10-01,U.S.,612.994
43,2015-09-01,U.S.,579.061
44,2015-08-01,U.S.,599.867
45,2015-07-01,U.S.,591.9
46,2015-06-01,U.S.,574.682
47,2015-05-01,U.S.,602.843
48,2015-04-01,U.S.,607.933
49,2015-03-01,U.S.,661.612
50,2015-02-01,U.S.,659.623
51,2015-01-01,U.S.,718.319
52,2014-12-01,U.S.,690.112
53,2014-11-01,U.S.,659.624
54,2014-10-01,U.S.,609.917
55,2014-09-01,U.S.,590.989
56,2014-08-01,U.S.,608.533
57,2014-07-01,U.S.,605.051
