,Date,Area,Price
0,2019-04-01,U.S.,2.98
1,2019-03-01,U.S.,3.59
2,2019-02-01,U.S.,3.79
3,2019-01-01,U.S.,4.16
4,2018-12-01,U.S.,4.89
5,2018-11-01,U.S.,4.32
6,2018-10-01,U.S.,3.5
7,2018-09-01,U.S.,3.21
8,2018-08-01,U.S.,3.39
9,2018-07-01,U.S.,3.41
10,2018-06-01,U.S.,3.21
11,2018-05-01,U.S.,3.15
12,2018-04-01,U.S.,3.25
13,2018-03-01,U.S.,3.32
14,2018-02-01,U.S.,3.74
15,2018-01-01,U.S.,5.35
16,2017-12-01,U.S.,3.81
17,2017-11-01,U.S.,3.5
18,2017-10-01,U.S.,3.27
19,2017-09-01,U.S.,3.31
20,2017-08-01,U.S.,3.27
21,2017-07-01,U.S.,3.32
22,2017-06-01,U.S.,3.41
23,2017-05-01,U.S.,3.61
24,2017-04-01,U.S.,3.5
25,2017-03-01,U.S.,3.52
26,2017-02-01,U.S.,3.74
27,2017-01-01,U.S.,4.33
28,2016-12-01,U.S.,4.15
29,2016-11-01,U.S.,3.14
30,2016-10-01,U.S.,3.23
31,2016-09-01,U.S.,3.18
32,2016-08-01,U.S.,3.07
33,2016-07-01,U.S.,3.07
34,2016-06-01,U.S.,2.77
35,2016-05-01,U.S.,2.49
36,2016-04-01,U.S.,2.52
37,2016-03-01,U.S.,2.33
38,2016-02-01,U.S.,2.83
39,2016-01-01,U.S.,3.18
40,2015-12-01,U.S.,2.72
41,2015-11-01,U.S.,2.78
42,2015-10-01,U.S.,3.04
43,2015-09-01,U.S.,3.2
44,2015-08-01,U.S.,3.23
45,2015-07-01,U.S.,3.23
46,2015-06-01,U.S.,3.25
47,2015-05-01,U.S.,3.28
48,2015-04-01,U.S.,3.24
49,2015-03-01,U.S.,3.71
50,2015-02-01,U.S.,5.02
51,2015-01-01,U.S.,4.31
52,2014-12-01,U.S.,4.5
53,2014-11-01,U.S.,4.68
54,2014-10-01,U.S.,4.23
55,2014-09-01,U.S.,4.34
56,2014-08-01,U.S.,4.25
57,2014-07-01,U.S.,4.58
58,2014-06-01,U.S.,4.99
59,2014-05-01,U.S.,5.09
60,2014-04-01,U.S.,5.25
61,2014-03-01,U.S.,6.29
62,2014-02-01,U.S.,7.8
63,2014-01-01,U.S.,7.46
64,2013-12-01,U.S.,5.11
65,2013-11-01,U.S.,4.36
66,2013-10-01,U.S.,4.26
67,2013-09-01,U.S.,4.22
68,2013-08-01,U.S.,4.03
69,2013-07-01,U.S.,4.34
70,2013-06-01,U.S.,4.56
71,2013-05-01,U.S.,4.79
72,2013-04-01,U.S.,4.84
73,2013-03-01,U.S.,4.5
74,2013-02-01,U.S.,4.59
75,2013-01-01,U.S.,4.56
76,2012-12-01,U.S.,4.35
77,2012-11-01,U.S.,4.43
78,2012-10-01,U.S.,4.0
79,2012-09-01,U.S.,3.54
80,2012-08-01,U.S.,3.61
81,2012-07-01,U.S.,3.54
82,2012-06-01,U.S.,3.21
83,2012-05-01,U.S.,3.05
84,2012-04-01,U.S.,2.81
85,2012-03-01,U.S.,3.09
86,2012-02-01,U.S.,3.46
87,2012-01-01,U.S.,3.82
88,2011-12-01,U.S.,4.18
89,2011-11-01,U.S.,4.26
90,2011-10-01,U.S.,4.49
91,2011-09-01,U.S.,4.71
92,2011-08-01,U.S.,4.85
93,2011-07-01,U.S.,5.13
94,2011-06-01,U.S.,5.2
95,2011-05-01,U.S.,5.04
96,2011-04-01,U.S.,5.03
97,2011-03-01,U.S.,4.84
98,2011-02-01,U.S.,5.29
99,2011-01-01,U.S.,5.66
100,2010-12-01,U.S.,5.68
101,2010-11-01,U.S.,4.55
102,2010-10-01,U.S.,4.45
103,2010-09-01,U.S.,4.61
104,2010-08-01,U.S.,5.06
105,2010-07-01,U.S.,5.34
106,2010-06-01,U.S.,5.31
107,2010-05-01,U.S.,4.96
108,2010-04-01,U.S.,4.91
109,2010-03-01,U.S.,5.47
110,2010-02-01,U.S.,6.27
111,2010-01-01,U.S.,6.98
112,2009-12-01,U.S.,6.24
113,2009-11-01,U.S.,5.06
114,2009-10-01,U.S.,5.04
115,2009-09-01,U.S.,4.02
116,2009-08-01,U.S.,4.3
117,2009-07-01,U.S.,4.47
118,2009-06-01,U.S.,4.62
119,2009-05-01,U.S.,4.7
120,2009-04-01,U.S.,4.7
121,2009-03-01,U.S.,4.92
122,2009-02-01,U.S.,5.62
123,2009-01-01,U.S.,6.62
124,2008-12-01,U.S.,6.9
125,2008-11-01,U.S.,6.64
126,2008-10-01,U.S.,6.74
127,2008-09-01,U.S.,7.81
128,2008-08-01,U.S.,8.97
129,2008-07-01,U.S.,11.71
130,2008-06-01,U.S.,12.41
131,2008-05-01,U.S.,10.97
132,2008-04-01,U.S.,10.19
133,2008-03-01,U.S.,9.53
134,2008-02-01,U.S.,8.87
135,2008-01-01,U.S.,8.52
136,2007-12-01,U.S.,7.93
