,Date,Area,Price
0,2019-04-01,U.S.,4.02
1,2019-03-01,U.S.,4.33
2,2019-02-01,U.S.,4.65
3,2019-01-01,U.S.,5.04
4,2018-12-01,U.S.,5.46
5,2018-11-01,U.S.,4.51
6,2018-10-01,U.S.,4.04
7,2018-09-01,U.S.,3.75
8,2018-08-01,U.S.,3.67
9,2018-07-01,U.S.,3.76
10,2018-06-01,U.S.,3.78
11,2018-05-01,U.S.,3.81
12,2018-04-01,U.S.,3.9
13,2018-03-01,U.S.,4.02
14,2018-02-01,U.S.,4.86
15,2018-01-01,U.S.,4.48
16,2017-12-01,U.S.,4.21
17,2017-11-01,U.S.,3.85
18,2017-10-01,U.S.,3.79
19,2017-09-01,U.S.,3.84
20,2017-08-01,U.S.,3.79
21,2017-07-01,U.S.,3.93
22,2017-06-01,U.S.,4.06
23,2017-05-01,U.S.,4.03
24,2017-04-01,U.S.,4.13
25,2017-03-01,U.S.,3.94
26,2017-02-01,U.S.,4.56
27,2017-01-01,U.S.,4.87
28,2016-12-01,U.S.,4.27
29,2016-11-01,U.S.,3.86
30,2016-10-01,U.S.,3.87
31,2016-09-01,U.S.,3.74
32,2016-08-01,U.S.,3.59
33,2016-07-01,U.S.,3.57
34,2016-06-01,U.S.,2.89
35,2016-05-01,U.S.,2.9
36,2016-04-01,U.S.,3.0
37,2016-03-01,U.S.,3.02
38,2016-02-01,U.S.,3.58
39,2016-01-01,U.S.,3.62
40,2015-12-01,U.S.,3.48
41,2015-11-01,U.S.,3.28
42,2015-10-01,U.S.,3.54
43,2015-09-01,U.S.,3.65
44,2015-08-01,U.S.,3.79
45,2015-07-01,U.S.,3.74
46,2015-06-01,U.S.,3.76
47,2015-05-01,U.S.,3.58
48,2015-04-01,U.S.,3.96
49,2015-03-01,U.S.,4.46
50,2015-02-01,U.S.,4.74
51,2015-01-01,U.S.,4.9
52,2014-12-01,U.S.,5.62
53,2014-11-01,U.S.,5.02
54,2014-10-01,U.S.,5.03
55,2014-09-01,U.S.,5.02
56,2014-08-01,U.S.,4.96
57,2014-07-01,U.S.,5.43
58,2014-06-01,U.S.,5.46
59,2014-05-01,U.S.,5.74
60,2014-04-01,U.S.,5.85
61,2014-03-01,U.S.,6.47
62,2014-02-01,U.S.,6.63
63,2014-01-01,U.S.,5.69
64,2013-12-01,U.S.,4.97
65,2013-11-01,U.S.,4.62
66,2013-10-01,U.S.,4.36
67,2013-09-01,U.S.,4.36
68,2013-08-01,U.S.,4.31
69,2013-07-01,U.S.,4.47
70,2013-06-01,U.S.,4.9
71,2013-05-01,U.S.,5.0
72,2013-04-01,U.S.,4.95
73,2013-03-01,U.S.,4.59
74,2013-02-01,U.S.,4.54
75,2013-01-01,U.S.,4.58
76,2012-12-01,U.S.,4.73
77,2012-11-01,U.S.,4.46
78,2012-10-01,U.S.,3.94
79,2012-09-01,U.S.,3.56
80,2012-08-01,U.S.,3.83
81,2012-07-01,U.S.,3.6
82,2012-06-01,U.S.,3.34
83,2012-05-01,U.S.,3.02
84,2012-04-01,U.S.,3.21
85,2012-03-01,U.S.,3.71
86,2012-02-01,U.S.,4.19
87,2012-01-01,U.S.,4.58
88,2011-12-01,U.S.,4.59
89,2011-11-01,U.S.,4.64
90,2011-10-01,U.S.,4.71
91,2011-09-01,U.S.,4.84
92,2011-08-01,U.S.,5.21
93,2011-07-01,U.S.,5.05
94,2011-06-01,U.S.,5.21
95,2011-05-01,U.S.,5.21
96,2011-04-01,U.S.,5.34
97,2011-03-01,U.S.,5.21
98,2011-02-01,U.S.,5.77
99,2011-01-01,U.S.,5.66
