,Date,Area,Price
0,2012-12-01,U.S.,3.35
1,2012-11-01,U.S.,3.35
2,2012-10-01,U.S.,3.03
3,2012-09-01,U.S.,2.71
4,2012-08-01,U.S.,2.86
5,2012-07-01,U.S.,2.59
6,2012-06-01,U.S.,2.54
7,2012-05-01,U.S.,1.94
8,2012-04-01,U.S.,1.89
9,2012-03-01,U.S.,2.25
10,2012-02-01,U.S.,2.46
11,2012-01-01,U.S.,2.89
12,2011-12-01,U.S.,3.14
13,2011-11-01,U.S.,3.35
14,2011-10-01,U.S.,3.62
15,2011-09-01,U.S.,3.82
16,2011-08-01,U.S.,4.2
17,2011-07-01,U.S.,4.27
18,2011-06-01,U.S.,4.2
19,2011-05-01,U.S.,4.12
20,2011-04-01,U.S.,4.05
21,2011-03-01,U.S.,3.95
22,2011-02-01,U.S.,4.34
23,2011-01-01,U.S.,4.37
24,2010-12-01,U.S.,4.68
25,2010-11-01,U.S.,4.12
26,2010-10-01,U.S.,4.05
27,2010-09-01,U.S.,3.83
28,2010-08-01,U.S.,4.38
29,2010-07-01,U.S.,4.44
30,2010-06-01,U.S.,4.27
31,2010-05-01,U.S.,4.24
32,2010-04-01,U.S.,4.1
33,2010-03-01,U.S.,4.7
34,2010-02-01,U.S.,5.3
35,2010-01-01,U.S.,5.69
36,2009-12-01,U.S.,4.66
37,2009-11-01,U.S.,4.2
38,2009-10-01,U.S.,3.83
39,2009-09-01,U.S.,2.98
40,2009-08-01,U.S.,3.37
41,2009-07-01,U.S.,3.45
42,2009-06-01,U.S.,3.38
43,2009-05-01,U.S.,3.23
44,2009-04-01,U.S.,3.18
45,2009-03-01,U.S.,3.38
46,2009-02-01,U.S.,3.7
47,2009-01-01,U.S.,4.6
48,2008-12-01,U.S.,5.94
49,2008-11-01,U.S.,5.23
50,2008-10-01,U.S.,5.64
51,2008-09-01,U.S.,6.71
52,2008-08-01,U.S.,8.21
53,2008-07-01,U.S.,10.79
54,2008-06-01,U.S.,10.36
55,2008-05-01,U.S.,9.96
56,2008-04-01,U.S.,8.87
57,2008-03-01,U.S.,8.63
58,2008-02-01,U.S.,8.02
59,2008-01-01,U.S.,7.38
60,2007-12-01,U.S.,6.87
61,2007-11-01,U.S.,6.46
62,2007-10-01,U.S.,5.78
63,2007-09-01,U.S.,5.3
64,2007-08-01,U.S.,5.76
65,2007-07-01,U.S.,6.21
66,2007-06-01,U.S.,6.62
67,2007-05-01,U.S.,6.75
68,2007-04-01,U.S.,6.26
69,2007-03-01,U.S.,6.65
70,2007-02-01,U.S.,6.8
71,2007-01-01,U.S.,5.7
72,2006-12-01,U.S.,6.76
73,2006-11-01,U.S.,6.71
74,2006-10-01,U.S.,5.09
75,2006-09-01,U.S.,6.06
76,2006-08-01,U.S.,6.55
77,2006-07-01,U.S.,5.91
78,2006-06-01,U.S.,5.77
79,2006-05-01,U.S.,6.23
80,2006-04-01,U.S.,6.37
81,2006-03-01,U.S.,6.43
82,2006-02-01,U.S.,6.85
83,2006-01-01,U.S.,8.01
84,2005-12-01,U.S.,9.08
85,2005-11-01,U.S.,9.89
86,2005-10-01,U.S.,10.33
87,2005-09-01,U.S.,8.95
88,2005-08-01,U.S.,6.48
89,2005-07-01,U.S.,6.71
90,2005-06-01,U.S.,6.09
91,2005-05-01,U.S.,6.25
92,2005-04-01,U.S.,6.57
93,2005-03-01,U.S.,5.95
94,2005-02-01,U.S.,5.73
95,2005-01-01,U.S.,5.8
96,2004-12-01,U.S.,6.01
97,2004-11-01,U.S.,6.21
98,2004-10-01,U.S.,5.43
99,2004-09-01,U.S.,5.06
100,2004-08-01,U.S.,5.52
101,2004-07-01,U.S.,5.62
102,2004-06-01,U.S.,5.82
103,2004-05-01,U.S.,5.4
104,2004-04-01,U.S.,5.03
105,2004-03-01,U.S.,5.12
106,2004-02-01,U.S.,5.02
107,2004-01-01,U.S.,5.21
108,2003-12-01,U.S.,4.76
109,2003-11-01,U.S.,4.26
110,2003-10-01,U.S.,4.32
111,2003-09-01,U.S.,4.59
112,2003-08-01,U.S.,4.46
113,2003-07-01,U.S.,5.08
114,2003-06-01,U.S.,5.41
115,2003-05-01,U.S.,4.77
116,2003-04-01,U.S.,4.47
117,2003-03-01,U.S.,6.96
118,2003-02-01,U.S.,5.05
119,2003-01-01,U.S.,4.43
120,2002-12-01,U.S.,3.96
121,2002-11-01,U.S.,3.59
122,2002-10-01,U.S.,3.24
123,2002-09-01,U.S.,2.97
124,2002-08-01,U.S.,2.76
125,2002-07-01,U.S.,2.92
126,2002-06-01,U.S.,2.96
127,2002-05-01,U.S.,2.94
128,2002-04-01,U.S.,2.94
129,2002-03-01,U.S.,2.4
130,2002-02-01,U.S.,2.19
131,2002-01-01,U.S.,2.5
132,2001-12-01,U.S.,3.42
133,2001-11-01,U.S.,3.41
134,2001-10-01,U.S.,2.78
135,2001-09-01,U.S.,2.93
136,2001-08-01,U.S.,3.33
137,2001-07-01,U.S.,3.35
138,2001-06-01,U.S.,3.79
139,2001-05-01,U.S.,4.36
140,2001-04-01,U.S.,4.52
141,2001-03-01,U.S.,4.37
142,2001-02-01,U.S.,5.08
143,2001-01-01,U.S.,6.82
144,2000-12-01,U.S.,5.77
145,2000-11-01,U.S.,4.4
146,2000-10-01,U.S.,4.58
147,2000-09-01,U.S.,4.26
148,2000-08-01,U.S.,3.73
149,2000-07-01,U.S.,3.84
150,2000-06-01,U.S.,3.77
151,2000-05-01,U.S.,3.04
152,2000-04-01,U.S.,2.86
153,2000-03-01,U.S.,2.66
154,2000-02-01,U.S.,2.73
155,2000-01-01,U.S.,2.6
156,1999-12-01,U.S.,2.24
157,1999-11-01,U.S.,2.68
158,1999-10-01,U.S.,2.52
159,1999-09-01,U.S.,2.62
160,1999-08-01,U.S.,2.51
161,1999-07-01,U.S.,2.2
162,1999-06-01,U.S.,2.14
163,1999-05-01,U.S.,2.17
164,1999-04-01,U.S.,1.9
165,1999-03-01,U.S.,1.7
166,1999-02-01,U.S.,1.77
167,1999-01-01,U.S.,1.85
168,1998-12-01,U.S.,1.95
169,1998-11-01,U.S.,1.94
170,1998-10-01,U.S.,1.86
171,1998-09-01,U.S.,1.7
172,1998-08-01,U.S.,1.82
173,1998-07-01,U.S.,2.09
174,1998-06-01,U.S.,1.91
175,1998-05-01,U.S.,2.04
176,1998-04-01,U.S.,2.16
177,1998-03-01,U.S.,2.06
178,1998-02-01,U.S.,1.96
179,1998-01-01,U.S.,1.96
180,1997-12-01,U.S.,2.28
181,1997-11-01,U.S.,2.92
182,1997-10-01,U.S.,2.68
183,1997-09-01,U.S.,2.33
184,1997-08-01,U.S.,2.08
185,1997-07-01,U.S.,2.0
186,1997-06-01,U.S.,2.08
187,1997-05-01,U.S.,2.0
188,1997-04-01,U.S.,1.81
189,1997-03-01,U.S.,1.79
190,1997-02-01,U.S.,2.49
191,1997-01-01,U.S.,3.4
192,1996-12-01,U.S.,3.26
193,1996-11-01,U.S.,2.5
194,1996-10-01,U.S.,1.94
195,1996-09-01,U.S.,1.85
196,1996-08-01,U.S.,2.1
197,1996-07-01,U.S.,2.25
198,1996-06-01,U.S.,2.08
199,1996-05-01,U.S.,2.01
200,1996-04-01,U.S.,2.08
201,1996-03-01,U.S.,1.95
202,1996-02-01,U.S.,1.89
203,1996-01-01,U.S.,2.05
204,1995-12-01,U.S.,1.84
205,1995-11-01,U.S.,1.61
206,1995-10-01,U.S.,1.54
207,1995-09-01,U.S.,1.52
208,1995-08-01,U.S.,1.43
209,1995-07-01,U.S.,1.43
210,1995-06-01,U.S.,1.58
211,1995-05-01,U.S.,1.55
212,1995-04-01,U.S.,1.52
213,1995-03-01,U.S.,1.47
214,1995-02-01,U.S.,1.48
215,1995-01-01,U.S.,1.62
216,1994-12-01,U.S.,1.88
217,1994-11-01,U.S.,1.75
218,1994-10-01,U.S.,1.7
219,1994-09-01,U.S.,1.78
220,1994-08-01,U.S.,1.83
221,1994-07-01,U.S.,1.81
222,1994-06-01,U.S.,1.8
223,1994-05-01,U.S.,2.0
224,1994-04-01,U.S.,1.91
225,1994-03-01,U.S.,1.93
226,1994-02-01,U.S.,1.88
227,1994-01-01,U.S.,1.93
228,1993-12-01,U.S.,2.15
229,1993-11-01,U.S.,2.03
230,1993-10-01,U.S.,2.02
231,1993-09-01,U.S.,2.09
232,1993-08-01,U.S.,2.04
233,1993-07-01,U.S.,1.99
234,1993-06-01,U.S.,1.98
235,1993-05-01,U.S.,2.18
236,1993-04-01,U.S.,2.06
237,1993-03-01,U.S.,2.0
238,1993-02-01,U.S.,1.76
239,1993-01-01,U.S.,2.03
240,1992-12-01,U.S.,2.07
241,1992-11-01,U.S.,2.13
242,1992-10-01,U.S.,2.38
243,1992-09-01,U.S.,1.92
244,1992-08-01,U.S.,1.84
245,1992-07-01,U.S.,1.55
246,1992-06-01,U.S.,1.62
247,1992-05-01,U.S.,1.51
248,1992-04-01,U.S.,1.42
249,1992-03-01,U.S.,1.35
250,1992-02-01,U.S.,1.26
251,1992-01-01,U.S.,1.74
252,1991-12-01,U.S.,2.0
253,1991-11-01,U.S.,1.89
254,1991-10-01,U.S.,1.82
255,1991-09-01,U.S.,1.59
256,1991-08-01,U.S.,1.43
257,1991-07-01,U.S.,1.34
258,1991-06-01,U.S.,1.43
259,1991-05-01,U.S.,1.48
