,Date,Area,Prod
0,2019-04-01,U.S.,2707.738
1,2019-03-01,U.S.,2775.301
2,2019-02-01,U.S.,2506.257
3,2019-01-01,U.S.,2750.413
4,2018-12-01,U.S.,2756.095
5,2018-11-01,U.S.,2656.502
6,2018-10-01,U.S.,2702.488
7,2018-09-01,U.S.,2590.301
8,2018-08-01,U.S.,2639.8
9,2018-07-01,U.S.,2584.898
10,2018-06-01,U.S.,2453.118
11,2018-05-01,U.S.,2520.538
12,2018-04-01,U.S.,2413.092
13,2018-03-01,U.S.,2484.793
14,2018-02-01,U.S.,2221.695
15,2018-01-01,U.S.,2415.266
16,2017-12-01,U.S.,2462.993
17,2017-11-01,U.S.,2369.513
18,2017-10-01,U.S.,2383.842
19,2017-09-01,U.S.,2275.128
20,2017-08-01,U.S.,2316.286
21,2017-07-01,U.S.,2316.835
22,2017-06-01,U.S.,2214.944
23,2017-05-01,U.S.,2270.937
24,2017-04-01,U.S.,2201.339
25,2017-03-01,U.S.,2272.302
26,2017-02-01,U.S.,2005.478
27,2017-01-01,U.S.,2201.625
28,2016-12-01,U.S.,2207.475
29,2016-11-01,U.S.,2160.6
30,2016-10-01,U.S.,2214.145
31,2016-09-01,U.S.,2151.15
32,2016-08-01,U.S.,2237.678
33,2016-07-01,U.S.,2255.564
34,2016-06-01,U.S.,2165.089
35,2016-05-01,U.S.,2258.898
36,2016-04-01,U.S.,2211.218
37,2016-03-01,U.S.,2286.521
38,2016-02-01,U.S.,2163.435
39,2016-01-01,U.S.,2280.34
40,2015-12-01,U.S.,2290.495
41,2015-11-01,U.S.,2216.479
42,2015-10-01,U.S.,2300.017
43,2015-09-01,U.S.,2242.155
44,2015-08-01,U.S.,2302.361
45,2015-07-01,U.S.,2299.745
46,2015-06-01,U.S.,2218.529
47,2015-05-01,U.S.,2297.826
48,2015-04-01,U.S.,2256.179
49,2015-03-01,U.S.,2298.208
50,2015-02-01,U.S.,2066.675
51,2015-01-01,U.S.,2276.791
52,2014-12-01,U.S.,2269.247
53,2014-11-01,U.S.,2179.157
54,2014-10-01,U.S.,2266.298
55,2014-09-01,U.S.,2171.651
56,2014-08-01,U.S.,2244.834
57,2014-07-01,U.S.,2232.675
58,2014-06-01,U.S.,2115.666
59,2014-05-01,U.S.,2174.959
60,2014-04-01,U.S.,2116.226
61,2014-03-01,U.S.,2134.549
62,2014-02-01,U.S.,1914.141
63,2014-01-01,U.S.,2070.203
64,2013-12-01,U.S.,2062.296
65,2013-11-01,U.S.,2029.834
66,2013-10-01,U.S.,2076.228
67,2013-09-01,U.S.,2003.186
68,2013-08-01,U.S.,2075.354
69,2013-07-01,U.S.,2079.83
70,2013-06-01,U.S.,1973.764
71,2013-05-01,U.S.,2042.563
72,2013-04-01,U.S.,1983.451
73,2013-03-01,U.S.,2023.443
74,2013-02-01,U.S.,1832.561
75,2013-01-01,U.S.,2023.011
76,2012-12-01,U.S.,2046.213
77,2012-11-01,U.S.,1997.917
78,2012-10-01,U.S.,2061.55
79,2012-09-01,U.S.,1990.747
80,2012-08-01,U.S.,2045.359
81,2012-07-01,U.S.,2055.476
