Date,Total,Industrial,Electric,Residential,Commercial,Price_Elec,Price_Ind,Price_Com,Price_Res,Price_HH,Area,Prod
2002-01-01,2487.638,686.108,381.434,815.227,604.8690000000001,3.1,4.05,6.51,7.38,2.317619047619048,U.S.,1618.892
2002-02-01,2242.427,632.621,344.243,712.863,552.7,2.86,3.7,6.4,7.23,2.323684210526316,U.S.,1449.623
2002-03-01,2258.431,655.854,406.516,660.43,535.6309999999999,3.37,3.78,6.28,7.1,3.0285,U.S.,1619.57
2002-04-01,1880.985,646.534,404.384,415.196,414.87099999999987,3.8,3.64,6.56,7.66,3.4268181818181813,U.S.,1565.063
2002-05-01,1611.453,611.973,410.108,255.083,334.289,3.78,4.07,6.68,8.54,3.4981818181818185,U.S.,1628.885
2002-06-01,1591.373,595.674,550.941,159.973,284.7850000000001,3.61,3.86,6.8,9.58,3.2614999999999994,U.S.,1569.228
2002-07-01,1748.435,605.786,733.887,125.065,283.6970000000001,3.49,3.8,6.62,10.31,2.9871428571428575,U.S.,1636.448
2002-08-01,1725.712,611.822,717.592,115.678,280.6199999999999,3.42,3.62,6.45,10.44,3.087727272727273,U.S.,1603.278
2002-09-01,1542.17,573.31,568.699,123.904,276.25700000000006,3.71,3.89,6.54,10.23,3.5490000000000004,U.S.,1516.304
2002-10-01,1645.873,613.448,442.357,250.573,339.4949999999999,4.19,4.18,6.64,8.61,4.1265217391304345,U.S.,1551.787
2002-11-01,1913.629,632.273,351.612,483.192,446.5519999999999,4.35,4.72,6.89,7.99,4.043157894736843,U.S.,1555.595
2002-12-01,2378.895,661.782,360.123,771.634,585.356,4.72,4.92,7.16,7.87,4.740952380952382,U.S.,1613.115
2003-01-01,2700.545,687.821,382.443,945.975,684.306,5.33,5.65,7.48,8.18,5.432380952380952,U.S.,1616.551
2003-02-01,2500.315,643.666,334.698,884.238,637.713,6.47,6.4,7.98,8.58,7.707894736842104,U.S.,1469.711
2003-03-01,2197.936,615.956,361.243,674.582,546.1550000000002,7.05,8.27,9.2,9.77,5.933333333333334,U.S.,1662.98
2003-04-01,1743.53,574.624,352.164,414.495,402.24700000000007,5.38,5.96,8.97,10.18,5.263333333333333,U.S.,1592.31
2003-05-01,1514.697,557.167,394.021,247.693,315.8159999999998,5.7,5.78,8.71,10.79,5.813809523809525,U.S.,1625.9
2003-06-01,1368.369,511.339,435.598,157.454,263.97799999999984,6.08,6.59,9.0,12.08,5.818571428571428,U.S.,1574.488
2003-07-01,1600.484,574.374,630.27,126.624,269.2159999999999,5.45,5.69,8.73,12.75,5.026363636363637,U.S.,1594.08
2003-08-01,1651.58,580.776,683.513,115.852,271.43899999999985,5.23,5.28,8.4,12.84,4.984761904761905,U.S.,1626.469
2003-09-01,1428.554,564.407,468.51,128.621,267.0160000000001,5.12,5.32,8.41,12.31,4.6204761904761895,U.S.,1566.968
2003-10-01,1553.189,598.581,408.817,231.558,314.23299999999995,4.98,4.93,8.28,10.64,4.626956521739133,U.S.,1620.293
2003-11-01,1753.642,596.599,348.129,413.663,395.251,4.85,5.19,8.36,9.77,4.470000000000001,U.S.,1549.049
