Date,ForCon
2019-04-01,2399.527875314359
2019-03-01,2723.0622104427466
2019-02-01,3027.6575226601854
2019-01-01,3173.9046538887123
2018-12-01,3085.9518017113646
2018-11-01,2549.8896990914905
2018-10-01,2163.2293900738064
2018-09-01,1995.350670062442
2018-08-01,2236.550229319788
2018-07-01,2141.220810665266
2018-06-01,2031.2623399983024
2018-05-01,2054.0812376741064
2018-04-01,2128.594388202004
2018-03-01,2391.628561916716
2018-02-01,2739.650586515859
2018-01-01,2974.692885783229
2017-12-01,2789.2954045942006
2017-11-01,2307.5530038299316
2017-10-01,2028.762161891347
2017-09-01,1895.9713041610414
2017-08-01,2208.474518587553
2017-07-01,2173.7656894205365
2017-06-01,2047.8860991700938
2017-05-01,1968.1991536762182
2017-04-01,2162.9392946630637
2017-03-01,2234.073381968259
2017-02-01,2719.6435951034455
2017-01-01,3063.4477494643074
