Date,ForCon
2017-01-01,2644.082379331164
2017-02-01,2450.4726843824888
2017-03-01,2090.3727021153527
2017-04-01,1927.8792592831367
2017-05-01,1925.9167201667042
2017-06-01,2097.52498891242
2017-07-01,2128.6035743189154
2017-08-01,1907.284394401641
2017-09-01,1969.998261360065
2017-10-01,2211.9553298589594
2017-11-01,2789.9992993111114
2017-12-01,3005.2743783799456
2018-01-01,2751.9810570627424
2018-02-01,2548.1303087410456
2018-03-01,2131.507155000793
2018-04-01,1947.286611075207
2018-05-01,1933.972792028269
2018-06-01,2099.265081592575
2018-07-01,2128.1012138088095
2018-08-01,1921.7536245217873
2018-09-01,2011.1730045714949
2018-10-01,2253.9983220011404
2018-11-01,2780.0601720441555
2018-12-01,3067.7436141971184
2019-01-01,2799.6556857376404
2019-02-01,2588.0718209283073
2019-03-01,2167.406580092651
2019-04-01,1981.073243981282
